Date,S&P500,CAPE
01/09/1919,9.01,6.56
01/10/1919,9.47,6.79
01/11/1919,9.19,6.47
01/12/1919,8.92,6.16
01/01/1920,8.83,5.99
01/02/1920,8.10,5.46
01/03/1920,8.67,5.80
01/04/1920,8.60,5.60
01/05/1920,8.06,5.19
01/06/1920,7.92,5.04
01/07/1920,7.91,5.08
01/08/1920,7.60,5.02
01/09/1920,7.87,5.30
01/10/1920,7.88,5.35
01/11/1920,7.48,5.13
01/12/1920,6.81,4.78
01/01/1921,7.11,5.12
01/02/1921,7.06,5.27
01/03/1921,6.88,5.19
01/04/1921,6.91,5.30
01/05/1921,7.12,5.61
01/06/1921,6.55,5.22
01/07/1921,6.53,5.20
01/08/1921,6.45,5.16
01/09/1921,6.61,5.38
01/10/1921,6.70,5.48
01/11/1921,7.06,5.84
01/12/1921,7.31,6.11
01/01/1922,7.30,6.29
01/02/1922,7.46,6.46
01/03/1922,7.74,6.82
01/04/1922,8.21,7.27
01/05/1922,8.53,7.59
01/06/1922,8.45,7.56
01/07/1922,8.51,7.60
01/08/1922,8.83,8.02
01/09/1922,9.06,8.27
01/10/1922,9.26,8.43
01/11/1922,8.80,8.00
01/12/1922,8.78,7.96
01/01/1923,8.90,8.15
01/02/1923,9.28,8.53
01/03/1923,9.43,8.70
01/04/1923,9.10,8.37
01/05/1923,8.67,8.00
01/06/1923,8.34,7.67
01/07/1923,8.06,7.35
01/08/1923,8.10,7.44
01/09/1923,8.15,7.46
01/10/1923,8.03,7.32
01/11/1923,8.27,7.55
01/12/1923,8.55,7.81
01/01/1924,8.83,8.07
01/02/1924,8.87,8.16
01/03/1924,8.70,8.06
01/04/1924,8.50,7.92
01/05/1924,8.47,7.90
01/06/1924,8.63,8.05
01/07/1924,9.03,8.38
01/08/1924,9.34,8.72
01/09/1924,9.25,8.58
01/10/1924,9.13,8.42
01/11/1924,9.64,8.89
01/12/1924,10.16,9.31
01/01/1925,10.58,9.69
01/02/1925,10.67,9.83
01/03/1925,10.39,9.52
01/04/1925,10.28,9.48
01/05/1925,10.61,9.73
01/06/1925,10.80,9.80
01/07/1925,11.10,9.96
01/08/1925,11.25,10.11
01/09/1925,11.51,10.36
01/10/1925,11.89,10.72
01/11/1925,12.26,10.89
01/12/1925,12.46,11.15
01/01/1926,12.65,11.34
01/02/1926,12.67,11.39
01/03/1926,11.81,10.71
01/04/1926,11.48,10.40
01/05/1926,11.56,10.58
01/06/1926,12.11,11.20
01/07/1926,12.62,11.87
01/08/1926,13.12,12.49
01/09/1926,13.32,12.69
01/10/1926,13.02,12.43
01/11/1926,13.19,12.62
01/12/1926,13.49,13.01
01/01/1927,13.40,13.19
01/02/1927,13.66,13.63
01/03/1927,13.87,14.03
01/04/1927,14.21,14.49
01/05/1927,14.70,15.00
01/06/1927,14.89,15.12
01/07/1927,15.22,15.82
01/08/1927,16.03,16.86
01/09/1927,16.94,17.82
01/10/1927,16.68,17.54
01/11/1927,17.06,18.13
01/12/1927,17.46,18.65
01/01/1928,17.53,18.81
01/02/1928,17.32,18.87
01/03/1928,18.25,19.94
